x,y,p,c
11.1622807017544,1,7,4
6.91666666666667,0,7,4
8.57777777777778,0,7,4
18.4,1,7,4
10.8,0,7,4
11.4,0,7,4
16.85,1,7,4
12.6,0,7,4
15.9,1,7,4
13,0,7,4
13.3,0,7,4
15.5,0,7,4
16.5,0,7,4
17.5557692307692,1,7,4
17.3230769230769,1,7,4
13,1,7,4
7.7,1,8,1
4.7,1,8,1
2.95865384615385,1,8,1
6.5,1,8,1
1.75,1,8,1
2.44607843137255,0,8,1
13.0887755102041,1,8,1
10,1,8,1
7.1,1,8,1
1.85,0,8,1
5.4,1,8,1
1.45,0,8,1
3.4,1,8,1
2.15566037735849,0,8,1
2.1,1,8,1
0.699999999999999,0,8,1
0.949999999999999,0,8,1
3.25,1,8,1
2.51960784313726,1,8,1
1.3,0,8,1
2.85,1,8,1
1.65,1,8,1
1,0,8,1
1.134,0,8,1
2.4,1,8,1
2.3,1,8,1
1.372,1,8,1
0.899999999999999,1,8,1
0.300000000000001,0,8,1
0.5,0,8,1
8.4,1,8,2
4.35,0,8,2
7.25,1,8,2
3.4,0,8,2
7.94166666666667,1,8,2
6.31944444444444,0,8,2
7.75,1,8,2
6.6,1,8,2
5.6,0,8,2
6.8,1,8,2
6,0,8,2
6.51018518518518,1,8,2
6,0,8,2
6.53921568627451,1,8,2
6,1,8,2
5.6,0,8,2
5.8,1,8,2
5.1,0,8,2
5.4,0,8,2
6.63636363636364,1,8,2
5.7,1,8,2
5.2,0,8,2
5.4,0,8,2
6.5287037037037,1,8,2
5.6,1,8,2
5.2,0,8,2
6.51470588235294,1,8,2
5.41057692307692,0,8,2
6.303,1,8,2
15.2,0,8,3
21.3,0,8,3
25.0387755102041,0,8,3
26.9216981132075,0,8,3
28.1345454545455,0,8,3
28.7688888888889,0,8,3
29.389,0,8,3
27.728,0,8,3
29.9644230769231,0,8,3
29.777,0,8,3
29.7961538461539,0,8,3
29.7591836734694,0,8,3
29.7663461538462,0,8,3
29.7418181818182,1,8,3
29.4527272727273,1,8,3
26.02,0,8,3
27.7442307692308,1,8,3
17.9,0,8,3
21,0,8,3
24.5,0,8,3
27.116,1,8,3
16.8,1,8,3
0.199999999999999,0,8,3
0.100000000000001,0,8,3
3.4,0,8,3
11.615,0,8,3
19.2,0,8,3
22.316,0,8,3
23.8,0,8,3
24.9538461538462,0,8,3
25.871568627451,0,8,3
26.6054545454546,0,8,3
27.527358490566,0,8,3
28.2147058823529,0,8,3
28.5892156862745,0,8,3
28.7259615384615,0,8,3
28.941,0,8,3
29.0269230769231,0,8,3
29.2283018867924,0,8,3
29.428125,0,8,3
12.5,0,8,4
15.5,0,8,4
17.2258928571429,1,8,4
10.8,0,8,4
14.5,0,8,4
16.65,0,8,4
18,1,8,4
15.9,1,8,4
9.1,0,8,4
11.3,0,8,4
18.3,1,8,4
16.3,1,8,4
14.7,0,8,4
16.3,1,8,4
15.1,0,8,4
16.25,0,8,4
17.4,1,8,4
17,1,8,4
15.5,0,8,4
16.3,0,8,4
17.1,1,8,4
